report_date,location,location_type,data_field_code,value,ï»¿report_date
2015-12-09,Guatemala,country,GT0002,29.0,
2015-12-16,Guatemala,country,GT0002,29.0,
2016-10-25,Guatemala,country,GT0002,684.0,
2016-10-25,Guatemala-Central,municipality,GT0002,152.0,
2016-10-25,Guatemala-Santa_Rosa,municipality,GT0002,44.0,
2016-10-25,Guatemala-Sur,municipality,GT0002,31.0,
2016-10-25,Guatemala-Suchitepequez,municipality,GT0002,57.0,
2016-10-25,Guatemala-Baja_Verapaz,municipality,GT0002,37.0,
2016-10-25,Guatemala-Chiquimula,municipality,GT0002,41.0,
2016-10-25,Guatemala-Jalapa,municipality,GT0002,18.0,
2016-10-25,Guatemala-Escuintla,municipality,GT0002,27.0,
2016-10-25,Guatemala-Quetzaltenango,municipality,GT0002,34.0,
2016-10-25,Guatemala-Alta_Verapaz,municipality,GT0002,24.0,
2016-10-25,Guatemala-San_Marcos,municipality,GT0002,31.0,
2016-10-25,Guatemala-Huehuetenango,municipality,GT0002,20.0,
2016-10-25,Guatemala-Zacapa,municipality,GT0002,30.0,
2016-10-25,Guatemala-Jutiapa,municipality,GT0002,22.0,
2016-10-25,Guatemala-Nor_Occidente,municipality,GT0002,20.0,
2016-10-25,Guatemala-Quiche,municipality,GT0002,11.0,
2016-10-25,Guatemala-Peten_Sur_Oriental,municipality,GT0002,12.0,
2016-10-25,Guatemala-Ixcan,municipality,GT0002,12.0,
2016-10-25,Guatemala-Sacatepequez,municipality,GT0002,7.0,
2016-10-25,Guatemala-Retalhuleu,municipality,GT0002,15.0,
2016-10-25,Guatemala-El_Progreso,municipality,GT0002,9.0,
2016-10-25,Guatemala-Peten_Sur_Occidental,municipality,GT0002,9.0,
2016-10-25,Guatemala-Nor_Oriente,municipality,GT0002,10.0,
2016-10-25,Guatemala-Chimaltenango,municipality,GT0002,1.0,
2016-10-25,Guatemala-Solola,municipality,GT0002,1.0,
2016-10-25,Guatemala-Peten_Norte,municipality,GT0002,5.0,
2016-10-25,Guatemala-Ixil,municipality,GT0002,2.0,
2016-10-25,Guatemala-Izabal,municipality,GT0002,2.0,
2016-10-25,Guatemala-Totonicapan,municipality,GT0002,0.0,
