report_date;location;climate;temp_max;temp_min;unit_temp;population;density_population;unit_density_pop;latitude_north_west_border;longitude_noth_west_border;latitude_north_est_border;longitude_noth_west_border;latitude_south_west_border;longitude_south_west_border;latitude_south_est_border;longitude_south_est_border;latitude_cases;longitude_cases;location_type;data_field;data_field_code;time_period;time_period_type;value;unit
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;zika_confirmed_4weeks;PR0001;NA;NA;15;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;zika_confirmed_cumulative_2016;PR0003;NA;NA;9;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;flavi_confirmed_cumulative_2016;PR0005;NA;NA;0;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;zika_confirmed_cumulative_2015-2016;PR0006;NA;NA;18;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;zika_confirmed_pregnant_cumulative_2015-2016;PR0007;NA;NA;0;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;zika_confirmed_pregnant_symptomatic_cumulative_2015-2016;PR0008;NA;NA;0;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016;PR0009;NA;NA;0;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;gbs_reported_cumulative_2015-2016;PR0010;NA;NA;0;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;arbovirus_suspected_4weeks;PR0011;NA;NA;174;cases
27/01/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;arbovirus_suspected_cumulative_2016;PR0012;NA;NA;2695;cases
04/02/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;zika_confirmed_4weeks;PR0001;NA;NA;15;cases
04/02/2016;United_States-Puerto_Rico;tropical;32,00;28,00;degrees;3283121,00;370.14;personne/km2;18.502887; -67.143325;18.383225;-65.618705;17.966092; -67.211467;17.973424;-65.969044;18.200178;-66.664513;territory;zika_confirmed_cumulative_2016;PR0003;NA;NA;12;cases
