report_date,location,location_type,data_field_code,value
2016-04-02,Norte,region,BR0011,6295
2016-04-02,Brazil-Rondonia,state,BR0011,618
2016-04-02,Brazil-Acre,state,BR0011,375
2016-04-02,Brazil-Amazonas,state,BR0011,1520
2016-04-02,Brazil-Roraima,state,BR0011,44
2016-04-02,Brazil-Para,state,BR0011,771
2016-04-02,Brazil-Amapa,state,BR0011,74
2016-04-02,Brazil-Tocantins,state,BR0011,2893
2016-04-02,Nordeste,region,BR0011,30286
2016-04-02,Brazil-Maranhao,state,BR0011,1202
2016-04-02,Brazil-Piaui,state,BR0011,7
2016-04-02,Brazil-Ceara,state,BR0011,156
2016-04-02,Brazil-Rio_Grande_do_Norte,state,BR0011,640
2016-04-02,Brazil-Paraiba,state,BR0011,1060
2016-04-02,Brazil-Pernambuco,state,BR0011,333
2016-04-02,Brazil-Alagoas,state,BR0011,1479
2016-04-02,Brazil-Sergipe,state,BR0011,348
2016-04-02,Brazil-Bahia,state,BR0011,25061
2016-04-02,Sudeste,region,BR0011,35505
2016-04-02,Brazil-Minas_Gerais,state,BR0011,6693
2016-04-02,Brazil-Espirito_Santo,state,BR0011,1382
2016-04-02,Brazil-Rio_de_Janeiro,state,BR0011,25930
2016-04-02,Brazil-Sao_Paulo,state,BR0011,1500
2016-04-02,Sul,region,BR0011,1797
2016-04-02,Brazil-Parana,state,BR0011,1540
2016-04-02,Brazil-Santa_Catarina,state,BR0011,62
2016-04-02,Brazil-Rio_Grande_do_Sul,state,BR0011,195
2016-04-02,Centro-Oeste,region,BR0011,17504
2016-04-02,Brazil-Mato_Grosso_do_Sul,state,BR0011,296
2016-04-02,Brazil-Mato_Grosso,state,BR0011,16055
2016-04-02,Brazil-Goias,state,BR0011,920
2016-04-02,Brazil-Distrito_Federal,state,BR0011,233
2016-04-02,Brazil,country,BR0011,91387
2016-04-23,Norte,region,BR0011,8545
2016-04-23,Brazil-Acre,state,BR0011,716
2016-04-23,Brazil-Amapa,state,BR0011,127
2016-04-23,Brazil-Amazonas,state,BR0011,2172
2016-04-23,Brazil-Para,state,BR0011,1079
2016-04-23,Brazil-Rondonia,state,BR0011,783
2016-04-23,Brazil-Roraima,state,BR0011,56
2016-04-23,Brazil-Tocantins,state,BR0011,3612
2016-04-23,Nordeste,region,BR0011,43000
2016-04-23,Brazil-Alagoas,state,BR0011,1906
2016-04-23,Brazil-Bahia,state,BR0011,34507
2016-04-23,Brazil-Ceara,state,BR0011,676
2016-04-23,Brazil-Maranhao,state,BR0011,1877
2016-04-23,Brazil-Paraiba,state,BR0011,1745
2016-04-23,Brazil-Pernambuco,state,BR0011,367
2016-04-23,Brazil-Piaui,state,BR0011,75
2016-04-23,Brazil-Rio_Grande_do_Norte,state,BR0011,1443
2016-04-23,Brazil-Sergipe,state,BR0011,404
2016-04-23,Sudeste,region,BR0011,46318
2016-04-23,Brazil-Espirito_Santo,state,BR0011,1790
2016-04-23,Brazil-Minas_Gerais,state,BR0011,9669
2016-04-23,Brazil-Rio_de_Janeiro,state,BR0011,32312
2016-04-23,Brazil-Sao_Paulo,state,BR0011,2547
2016-04-23,Sul,region,BR0011,2197
2016-04-23,Brazil-Parana,state,BR0011,1847
2016-04-23,Brazil-Rio_Grande_do_Sul,state,BR0011,264
2016-04-23,Brazil-Santa_Catarina,state,BR0011,86
2016-04-23,Centro-Oeste,region,BR0011,20101
2016-04-23,Brazil-Distrito_Federal,state,BR0011,276
2016-04-23,Brazil-Goias,state,BR0011,1907
2016-04-23,Brazil-Mato_Grosso,state,BR0011,17391
2016-04-23,Brazil-Mato_Grosso_do_Sul,state,BR0011,527
2016-04-23,Brazil,country,BR0011,120161
2016-04-30,Norte,region,BR0011,8379
2016-04-30,Brazil-Acre,state,BR0011,732
2016-04-30,Brazil-Amapa,state,BR0011,122
2016-04-30,Brazil-Amazonas,state,BR0011,2172
2016-04-30,Brazil-Para,state,BR0011,1249
2016-04-30,Brazil-Rondonia,state,BR0011,783
2016-04-30,Brazil-Roraima,state,BR0011,57
2016-04-30,Brazil-Tocantins,state,BR0011,3264
2016-04-30,Nordeste,region,BR0011,47709
2016-04-30,Brazil-Alagoas,state,BR0011,2206
2016-04-30,Brazil-Bahia,state,BR0011,37836
2016-04-30,Brazil-Ceara,state,BR0011,832
2016-04-30,Brazil-Maranhao,state,BR0011,1954
2016-04-30,Brazil-Paraiba,state,BR0011,2275
2016-04-30,Brazil-Pernambuco,state,BR0011,450
2016-04-30,Brazil-Piaui,state,BR0011,82
2016-04-30,Brazil-Rio_Grande_do_Norte,state,BR0011,1647
2016-04-30,Brazil-Sergipe,state,BR0011,427
2016-04-30,Sudeste,region,BR0011,48027
