report_date,location,location_type,data_field_code,value
2016-04-02,Norte,region,BR0011,6295.0
2016-04-02,Brazil,country,BR0011,91387.0
2016-04-02,Brazil-Distrito_Federal,state,BR0011,233.0
2016-04-02,Brazil-Goias,state,BR0011,920.0
2016-04-02,Brazil-Mato_Grosso,state,BR0011,16055.0
2016-04-02,Brazil-Mato_Grosso_do_Sul,state,BR0011,296.0
2016-04-02,Centro-Oeste,region,BR0011,17504.0
2016-04-02,Brazil-Rio_Grande_do_Sul,state,BR0011,195.0
2016-04-02,Brazil-Santa_Catarina,state,BR0011,62.0
2016-04-02,Sul,region,BR0011,1797.0
2016-04-02,Brazil-Sao_Paulo,state,BR0011,1500.0
2016-04-02,Brazil-Rio_de_Janeiro,state,BR0011,25930.0
2016-04-02,Brazil-Espirito_Santo,state,BR0011,1382.0
2016-04-02,Brazil-Minas_Gerais,state,BR0011,6693.0
2016-04-02,Sudeste,region,BR0011,35505.0
2016-04-02,Brazil-Bahia,state,BR0011,25061.0
2016-04-02,Brazil-Parana,state,BR0011,1540.0
2016-04-02,Brazil-Alagoas,state,BR0011,1479.0
2016-04-02,Brazil-Sergipe,state,BR0011,348.0
2016-04-02,Brazil-Acre,state,BR0011,375.0
2016-04-02,Brazil-Amazonas,state,BR0011,1520.0
2016-04-02,Brazil-Roraima,state,BR0011,44.0
2016-04-02,Brazil-Para,state,BR0011,771.0
2016-04-02,Brazil-Amapa,state,BR0011,74.0
2016-04-02,Brazil-Tocantins,state,BR0011,2893.0
2016-04-02,Brazil-Rondonia,state,BR0011,618.0
2016-04-02,Brazil-Maranhao,state,BR0011,1202.0
2016-04-02,Brazil-Piaui,state,BR0011,7.0
2016-04-02,Brazil-Ceara,state,BR0011,156.0
2016-04-02,Brazil-Rio_Grande_do_Norte,state,BR0011,640.0
2016-04-02,Brazil-Paraiba,state,BR0011,1060.0
2016-04-02,Brazil-Pernambuco,state,BR0011,333.0
2016-04-02,Nordeste,region,BR0011,30286.0
2016-04-23,Brazil-Sergipe,state,BR0011,404.0
2016-04-23,Sudeste,region,BR0011,46318.0
2016-04-23,Brazil-Espirito_Santo,state,BR0011,1790.0
2016-04-23,Brazil-Minas_Gerais,state,BR0011,9669.0
2016-04-23,Brazil-Rio_de_Janeiro,state,BR0011,32312.0
2016-04-23,Brazil-Sao_Paulo,state,BR0011,2547.0
2016-04-23,Sul,region,BR0011,2197.0
2016-04-23,Brazil-Distrito_Federal,state,BR0011,276.0
2016-04-23,Brazil-Santa_Catarina,state,BR0011,86.0
2016-04-23,Centro-Oeste,region,BR0011,20101.0
2016-04-23,Brazil-Goias,state,BR0011,1907.0
2016-04-23,Brazil-Mato_Grosso,state,BR0011,17391.0
