report_date,value,location,location_type,data_field_code
2016-01-09,1.0,Colombia-Antioquia-Unknown,municipality,CO0001
2016-01-09,0.0,Colombia-Cauca-Unknown,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Popayan,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Almaguer,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Argelia,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Balboa,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Bolivar,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Valparaiso,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Buenos_Aires,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Caldono,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Caloto,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Corinto,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-El_Tambo,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Florencia,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Guachene,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Cajibio,municipality,CO0002
2016-01-09,0.0,Colombia-Cauca-Guapi,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Solita,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-San_Vicente_Del_Caguan,municipality,CO0002
2016-01-09,0.0,Colombia-Caldas-Viterbo,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Unknown,municipality,CO0002
2016-01-09,23.0,Colombia-Caqueta-Florencia,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Albania,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Belen_De_Los_Andaquies,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Cartagena_Del_Chaira,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Solano,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Curillo,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-El_Paujil,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-La_Montanita,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Milan,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Morelia,municipality,CO0002
2016-01-09,0.0,Colombia-Caqueta-Puerto_Rico,municipality,CO0002
