report_date,location,location_type,data_field_code,value
2016-02-13,Dominican_Republic,country,DO0005,305.0
2016-02-20,Dominican_Republic,country,DO0005,395.0
2016-02-27,Dominican_Republic,country,DO0005,573.0
2016-03-05,Dominican_Republic,country,DO0005,670.0
2016-03-12,Dominican_Republic,country,DO0005,822.0
2016-03-19,Dominican_Republic,country,DO0005,991.0
2016-03-26,Dominican_Republic-Hermanas_Mirabal,province,DO0005,4.0
2016-03-26,Dominican_Republic-Samana,province,DO0005,0.0
2016-03-26,Dominican_Republic-San_Juan,province,DO0005,1.0
2016-03-26,Dominican_Republic-San_Pedro_de_Macoris,province,DO0005,13.0
2016-03-26,Dominican_Republic-Sanchez_Ramirez,province,DO0005,1.0
2016-03-26,Dominican_Republic-Santiago,province,DO0005,11.0
2016-03-26,Dominican_Republic-Santiago-Rodriguez,municipality,DO0005,0.0
2016-03-26,Dominican_Republic-Monte_Plata,province,DO0005,4.0
2016-03-26,Dominican_Republic-Monsenor_Nouel,province,DO0005,3.0
2016-03-26,Dominican_Republic-Puerto_Plata,province,DO0005,20.0
2016-03-26,Dominican_Republic-Hato_Mayor,province,DO0005,1.0
2016-03-26,Dominican_Republic-San_Jose_de_Ocoa,province,DO0005,1.0
2016-03-26,Dominican_Republic-Santo_Domingo,province,DO0005,466.0
2016-03-26,Dominican_Republic-Extranjera,province,DO0005,0.0
2016-03-26,Dominican_Republic-Valverde,province,DO0005,22.0
2016-03-26,Dominican_Republic-Peravia,province,DO0005,7.0
2016-03-26,Dominican_Republic-San_Cristobal,province,DO0005,46.0
2016-03-26,Dominican_Republic-Monte_Cristi,province,DO0005,4.0
2016-03-26,Dominican_Republic-Pedernales,province,DO0005,7.0
2016-03-26,Dominican_Republic-Distrito_Nacional,province,DO0005,311.0
2016-03-26,Dominican_Republic-Azua,province,DO0005,16.0
2016-03-26,Dominican_Republic-Baoruco,province,DO0005,6.0
2016-03-26,Dominican_Republic-Barahona,province,DO0005,17.0
2016-03-26,Dominican_Republic-Dajabon,province,DO0005,0.0
2016-03-26,Dominican_Republic-Duarte,province,DO0005,11.0
2016-03-26,Dominican_Republic-Elias_Pina,province,DO0005,0.0
2016-03-26,Dominican_Republic,country,DO0005,1090.0
2016-03-26,Dominican_Republic-Espaillat,province,DO0005,11.0
2016-03-26,Dominican_Republic-Independencia,province,DO0005,69.0
2016-03-26,Dominican_Republic-La_Altagracia,province,DO0005,14.0
2016-03-26,Dominican_Republic-La_Romana,province,DO0005,4.0
2016-03-26,Dominican_Republic-La_Vega,province,DO0005,13.0
2016-03-26,Dominican_Republic-Maria_Trinidad_Sanchez,province,DO0005,6.0
2016-03-26,Dominican_Republic-El_Seibo,province,DO0005,1.0
2016-04-02,Dominican_Republic-Hermanas_Mirabal,province,DO0005,4.0
2016-04-02,Dominican_Republic-Samana,province,DO0005,0.0
2016-04-02,Dominican_Republic-San_Cristobal,province,DO0005,44.0
2016-04-02,Dominican_Republic-San_Pedro_de_Macoris,province,DO0005,14.0
2016-04-02,Dominican_Republic-Sanchez_Ramirez,province,DO0005,2.0
2016-04-02,Dominican_Republic-Santiago,province,DO0005,12.0
2016-04-02,Dominican_Republic-Santiago-Rodriguez,municipality,DO0005,0.0
2016-04-02,Dominican_Republic-Monte_Plata,province,DO0005,4.0
2016-04-02,Dominican_Republic-Monsenor_Nouel,province,DO0005,3.0
2016-04-02,Dominican_Republic-Hato_Mayor,province,DO0005,1.0
2016-04-02,Dominican_Republic-San_Jose_de_Ocoa,province,DO0005,1.0
2016-04-02,Dominican_Republic-Santo_Domingo,province,DO0005,556.0
2016-04-02,Dominican_Republic-Extranjera,province,DO0005,0.0
2016-04-02,Dominican_Republic-Puerto_Plata,province,DO0005,21.0
2016-04-02,Dominican_Republic-Valverde,province,DO0005,23.0
2016-04-02,Dominican_Republic-Peravia,province,DO0005,11.0
2016-04-02,Dominican_Republic-San_Juan,province,DO0005,1.0
2016-04-02,Dominican_Republic-Monte_Cristi,province,DO0005,4.0
2016-04-02,Dominican_Republic-Distrito_Nacional,province,DO0005,360.0
2016-04-02,Dominican_Republic-Azua,province,DO0005,29.0
2016-04-02,Dominican_Republic-Baoruco,province,DO0005,6.0
2016-04-02,Dominican_Republic-Barahona,province,DO0005,17.0
2016-04-02,Dominican_Republic-Dajabon,province,DO0005,0.0
2016-04-02,Dominican_Republic-Duarte,province,DO0005,11.0
2016-04-02,Dominican_Republic-Elias_Pina,province,DO0005,0.0
2016-04-02,Dominican_Republic,country,DO0005,1249.0
2016-04-02,Dominican_Republic-Espaillat,province,DO0005,11.0
2016-04-02,Dominican_Republic-El_Seibo,province,DO0005,1.0
2016-04-02,Dominican_Republic-Maria_Trinidad_Sanchez,province,DO0005,6.0
2016-04-02,Dominican_Republic-La_Vega,province,DO0005,13.0
2016-04-02,Dominican_Republic-Pedernales,province,DO0005,7.0
2016-04-02,Dominican_Republic-La_Altagracia,province,DO0005,14.0
2016-04-02,Dominican_Republic-Independencia,province,DO0005,69.0
2016-04-02,Dominican_Republic-La_Romana,province,DO0005,4.0
2016-04-09,Dominican_Republic-Puerto_Plata,province,DO0005,23.0
2016-04-09,Dominican_Republic-Hermanas_Mirabal,province,DO0005,5.0
2016-04-09,Dominican_Republic-Samana,province,DO0005,0.0
2016-04-09,Dominican_Republic-San_Cristobal,province,DO0005,55.0
2016-04-09,Dominican_Republic-San_Juan,province,DO0005,1.0
2016-04-09,Dominican_Republic-San_Pedro_de_Macoris,province,DO0005,17.0
2016-04-09,Dominican_Republic-Sanchez_Ramirez,province,DO0005,2.0
2016-04-09,Dominican_Republic-Santiago-Rodriguez,municipality,DO0005,0.0
2016-04-09,Dominican_Republic-Valverde,province,DO0005,23.0
2016-04-09,Dominican_Republic-Monte_Plata,province,DO0005,4.0
2016-04-09,Dominican_Republic-Hato_Mayor,province,DO0005,1.0
2016-04-09,Dominican_Republic-San_Jose_de_Ocoa,province,DO0005,4.0
2016-04-09,Dominican_Republic-Santo_Domingo,province,DO0005,659.0
2016-04-09,Dominican_Republic-Peravia,province,DO0005,11.0
2016-04-09,Dominican_Republic-Extranjera,province,DO0005,0.0
2016-04-09,Dominican_Republic-Santiago,province,DO0005,15.0
2016-04-09,Dominican_Republic-Monsenor_Nouel,province,DO0005,5.0
2016-04-09,Dominican_Republic-Pedernales,province,DO0005,7.0
2016-04-09,Dominican_Republic-Maria_Trinidad_Sanchez,province,DO0005,6.0
2016-04-09,Dominican_Republic-Monte_Cristi,province,DO0005,4.0
2016-04-09,Dominican_Republic,country,DO0005,1477.0
2016-04-09,Dominican_Republic-Distrito_Nacional,province,DO0005,436.0
2016-04-09,Dominican_Republic-Azua,province,DO0005,42.0
2016-04-09,Dominican_Republic-Barahona,province,DO0005,17.0
2016-04-09,Dominican_Republic-Dajabon,province,DO0005,0.0
2016-04-09,Dominican_Republic-Duarte,province,DO0005,11.0
2016-04-09,Dominican_Republic-Baoruco,province,DO0005,6.0
2016-04-09,Dominican_Republic-El_Seibo,province,DO0005,1.0
2016-04-09,Dominican_Republic-Espaillat,province,DO0005,14.0
2016-04-09,Dominican_Republic-Independencia,province,DO0005,69.0
2016-04-09,Dominican_Republic-La_Altagracia,province,DO0005,15.0
2016-04-09,Dominican_Republic-La_Romana,province,DO0005,10.0
2016-04-09,Dominican_Republic-La_Vega,province,DO0005,14.0
2016-04-09,Dominican_Republic-Elias_Pina,province,DO0005,0.0
2016-04-16,Dominican_Republic-Sanchez_Ramirez,province,DO0005,4.0
2016-04-16,Dominican_Republic-Hermanas_Mirabal,province,DO0005,5.0
2016-04-16,Dominican_Republic-Samana,province,DO0005,1.0
2016-04-16,Dominican_Republic-San_Cristobal,province,DO0005,58.0
2016-04-16,Dominican_Republic-San_Juan,province,DO0005,1.0
2016-04-16,Dominican_Republic-San_Pedro_de_Macoris,province,DO0005,20.0
2016-04-16,Dominican_Republic-Santiago,province,DO0005,23.0
2016-04-16,Dominican_Republic-Extranjera,province,DO0005,0.0
2016-04-16,Dominican_Republic-Valverde,province,DO0005,28.0
2016-04-16,Dominican_Republic-Monsenor_Nouel,province,DO0005,10.0
2016-04-16,Dominican_Republic-Monte_Plata,province,DO0005,5.0
2016-04-16,Dominican_Republic-Hato_Mayor,province,DO0005,2.0
2016-04-16,Dominican_Republic-San_Jose_de_Ocoa,province,DO0005,7.0
2016-04-16,Dominican_Republic-Santo_Domingo,province,DO0005,816.0
2016-04-16,Dominican_Republic-Puerto_Plata,province,DO0005,29.0
2016-04-16,Dominican_Republic-Santiago-Rodriguez,municipality,DO0005,0.0
2016-04-16,Dominican_Republic-Peravia,province,DO0005,12.0
2016-04-16,Dominican_Republic-Barahona,province,DO0005,17.0
2016-04-16,Dominican_Republic-Monte_Cristi,province,DO0005,4.0
2016-04-16,Dominican_Republic-Distrito_Nacional,province,DO0005,480.0
2016-04-16,Dominican_Republic-Azua,province,DO0005,53.0
2016-04-16,Dominican_Republic-Baoruco,province,DO0005,6.0
2016-04-16,Dominican_Republic-Pedernales,province,DO0005,7.0
2016-04-16,Dominican_Republic-Dajabon,province,DO0005,0.0
2016-04-16,Dominican_Republic-Duarte,province,DO0005,15.0
2016-04-16,Dominican_Republic-Elias_Pina,province,DO0005,0.0
2016-04-16,Dominican_Republic,country,DO0005,1747.0
2016-04-16,Dominican_Republic-Espaillat,province,DO0005,18.0
2016-04-16,Dominican_Republic-Independencia,province,DO0005,69.0
2016-04-16,Dominican_Republic-La_Altagracia,province,DO0005,16.0
2016-04-16,Dominican_Republic-La_Romana,province,DO0005,16.0
2016-04-16,Dominican_Republic-La_Vega,province,DO0005,17.0
2016-04-16,Dominican_Republic-Maria_Trinidad_Sanchez,province,DO0005,7.0
2016-04-16,Dominican_Republic-El_Seibo,province,DO0005,1.0
2016-04-23,Dominican_Republic-Hermanas_Mirabal,province,DO0005,5.0
2016-04-23,Dominican_Republic-Samana,province,DO0005,1.0
2016-04-23,Dominican_Republic-San_Cristobal,province,DO0005,69.0
2016-04-23,Dominican_Republic-San_Juan,province,DO0005,7.0
2016-04-23,Dominican_Republic-San_Pedro_de_Macoris,province,DO0005,24.0
2016-04-23,Dominican_Republic-Sanchez_Ramirez,province,DO0005,5.0
2016-04-23,Dominican_Republic-Santiago,province,DO0005,25.0
2016-04-23,Dominican_Republic-Monsenor_Nouel,province,DO0005,19.0
2016-04-23,Dominican_Republic-Valverde,province,DO0005,32.0
2016-04-23,Dominican_Republic-Monte_Plata,province,DO0005,9.0
2016-04-23,Dominican_Republic-Hato_Mayor,province,DO0005,6.0
2016-04-23,Dominican_Republic-San_Jose_de_Ocoa,province,DO0005,7.0
2016-04-23,Dominican_Republic-Santo_Domingo,province,DO0005,967.0
2016-04-23,Dominican_Republic-Puerto_Plata,province,DO0005,36.0
2016-04-23,Dominican_Republic-Santiago-Rodriguez,municipality,DO0005,1.0
2016-04-23,Dominican_Republic-Peravia,province,DO0005,13.0
2016-04-23,Dominican_Republic-Extranjera,province,DO0005,0.0
2016-04-23,Dominican_Republic-Monte_Cristi,province,DO0005,4.0
2016-04-23,Dominican_Republic,country,DO0005,2096.0
2016-04-23,Dominican_Republic-Distrito_Nacional,province,DO0005,558.0
2016-04-23,Dominican_Republic-Azua,province,DO0005,70.0
2016-04-23,Dominican_Republic-Baoruco,province,DO0005,7.0
2016-04-23,Dominican_Republic-Barahona,province,DO0005,21.0
2016-04-23,Dominican_Republic-Dajabon,province,DO0005,0.0
2016-04-23,Dominican_Republic-Duarte,province,DO0005,15.0
2016-04-23,Dominican_Republic-Pedernales,province,DO0005,7.0
2016-04-23,Dominican_Republic-El_Seibo,province,DO0005,2.0
2016-04-23,Dominican_Republic-Espaillat,province,DO0005,22.0
2016-04-23,Dominican_Republic-Independencia,province,DO0005,69.0
2016-04-23,Dominican_Republic-La_Altagracia,province,DO0005,19.0
2016-04-23,Dominican_Republic-La_Romana,province,DO0005,21.0
2016-04-23,Dominican_Republic-La_Vega,province,DO0005,20.0
2016-04-23,Dominican_Republic-Maria_Trinidad_Sanchez,province,DO0005,8.0
2016-04-23,Dominican_Republic-Elias_Pina,province,DO0005,0.0
2016-04-30,Dominican_Republic-Puerto_Plata,province,DO0005,56.0
2016-04-30,Dominican_Republic-Hermanas_Mirabal,province,DO0005,6.0
2016-04-30,Dominican_Republic-Samana,province,DO0005,2.0
2016-04-30,Dominican_Republic-San_Cristobal,province,DO0005,81.0
2016-04-30,Dominican_Republic-San_Juan,province,DO0005,10.0
2016-04-30,Dominican_Republic-San_Pedro_de_Macoris,province,DO0005,24.0
2016-04-30,Dominican_Republic-Sanchez_Ramirez,province,DO0005,8.0
2016-04-30,Dominican_Republic-Monsenor_Nouel,province,DO0005,19.0
2016-04-30,Dominican_Republic-Santiago-Rodriguez,municipality,DO0005,3.0
