report_date,location,location_type,data_field_code,value,Unnamed: 9,Unnamed: 10,ï»¿report_date
2015-11-28,El_Salvador-Ahuachapan,department,SV0010,4.0,,,
2015-11-28,El_Salvador,country,SV0010,851.0,,,
2015-11-28,El_Salvador-Usulutan,department,SV0010,28.0,,,
2015-11-28,El_Salvador-Sonsonate,department,SV0010,3.0,,,
2015-11-28,El_Salvador-Santa_Ana,department,SV0010,9.0,,,
2015-11-28,El_Salvador-San_Salvador,department,SV0010,551.0,,,
2015-11-28,El_Salvador-San_Miguel,department,SV0010,16.0,,,
2015-11-28,El_Salvador-San_Vicente,department,SV0010,38.0,,,
2015-11-28,El_Salvador-La_Union,department,SV0010,4.0,,,
2015-11-28,El_Salvador-La_Paz,department,SV0010,1.0,,,
2015-11-28,El_Salvador-La_Libertad,department,SV0010,61.0,,,
2015-11-28,El_Salvador-Cuscatlan,department,SV0010,4.0,,,
2015-11-28,El_Salvador-Chalatenango,department,SV0010,8.0,,,
2015-11-28,El_Salvador-Cabanas,department,SV0010,3.0,,,
2015-11-28,El_Salvador-Morazan,department,SV0010,4.0,,,
2015-12-05,El_Salvador-San_Miguel,department,SV0010,20.0,,,
2015-12-05,El_Salvador,country,SV0010,864.0,,,
2015-12-05,El_Salvador-Usulutan,department,SV0010,39.0,,,
2015-12-05,El_Salvador-Sonsonate,department,SV0010,4.0,,,
2015-12-05,El_Salvador-Santa_Ana,department,SV0010,11.0,,,
2015-12-05,El_Salvador-San_Salvador,department,SV0010,584.0,,,
2015-12-05,El_Salvador-Morazan,department,SV0010,8.0,,,
2015-12-05,El_Salvador-San_Vicente,department,SV0010,86.0,,,
2015-12-05,El_Salvador-La_Paz,department,SV0010,1.0,,,
2015-12-05,El_Salvador-La_Libertad,department,SV0010,70.0,,,
2015-12-05,El_Salvador-Cuscatlan,department,SV0010,6.0,,,
2015-12-05,El_Salvador-Chalatenango,department,SV0010,15.0,,,
2015-12-05,El_Salvador-Cabanas,department,SV0010,8.0,,,
2015-12-05,El_Salvador-Ahuachapan,department,SV0010,5.0,,,
2015-12-05,El_Salvador-La_Union,department,SV0010,7.0,,,
2015-12-12,El_Salvador,country,SV0010,1716.0,,,
2015-12-12,El_Salvador-Usulutan,department,SV0010,56.0,,,
2015-12-12,El_Salvador-Sonsonate,department,SV0010,9.0,,,
2015-12-12,El_Salvador-Santa_Ana,department,SV0010,34.0,,,
2015-12-12,El_Salvador-San_Vicente,department,SV0010,145.0,,,
2015-12-12,El_Salvador-San_Salvador,department,SV0010,1113.0,,,
2015-12-12,El_Salvador-San_Miguel,department,SV0010,38.0,,,
2015-12-12,El_Salvador-Morazan,department,SV0010,22.0,,,
2015-12-12,El_Salvador-La_Paz,department,SV0010,28.0,,,
2015-12-12,El_Salvador-La_Libertad,department,SV0010,174.0,,,
2015-12-12,El_Salvador-Cuscatlan,department,SV0010,22.0,,,
2015-12-12,El_Salvador-Chalatenango,department,SV0010,27.0,,,
2015-12-12,El_Salvador-Cabanas,department,SV0010,21.0,,,
2015-12-12,El_Salvador-Ahuachapan,department,SV0010,18.0,,,
2015-12-12,El_Salvador-La_Union,department,SV0010,9.0,,,
2015-12-19,El_Salvador-San_Salvador,department,SV0010,1692.0,,,
2015-12-19,El_Salvador,country,SV0010,2773.0,,,
2015-12-19,El_Salvador-Usulutan,department,SV0010,69.0,,,
2015-12-19,El_Salvador-Sonsonate,department,SV0010,14.0,,,
2015-12-19,El_Salvador-Santa_Ana,department,SV0010,130.0,,,
2015-12-19,El_Salvador-San_Vicente,department,SV0010,221.0,,,
2015-12-19,El_Salvador-San_Miguel,department,SV0010,51.0,,,
2015-12-19,El_Salvador-Cuscatlan,department,SV0010,33.0,,,
2015-12-19,El_Salvador-La_Union,department,SV0010,13.0,,,
2015-12-19,El_Salvador-La_Paz,department,SV0010,60.0,,,
2015-12-19,El_Salvador-La_Libertad,department,SV0010,316.0,,,
2015-12-19,El_Salvador-Morazan,department,SV0010,53.0,,,
2015-12-19,El_Salvador-Chalatenango,department,SV0010,58.0,,,
2015-12-19,El_Salvador-Cabanas,department,SV0010,36.0,,,
2015-12-19,El_Salvador-Ahuachapan,department,SV0010,27.0,,,
2015-12-27,El_Salvador-Usulutan,department,SV0010,78.0,,,
2015-12-27,El_Salvador-Sonsonate,department,SV0010,23.0,,,
2015-12-27,El_Salvador-Santa_Ana,department,SV0010,213.0,,,
2015-12-27,El_Salvador-San_Vicente,department,SV0010,294.0,,,
2015-12-27,El_Salvador-San_Salvador,department,SV0010,2272.0,,,
2015-12-27,El_Salvador-San_Miguel,department,SV0010,58.0,,,
2015-12-27,El_Salvador-Morazan,department,SV0010,65.0,,,
2015-12-27,El_Salvador,country,SV0010,3836.0,,,
2015-12-27,El_Salvador-La_Paz,department,SV0010,75.0,,,
2015-12-27,El_Salvador-La_Libertad,department,SV0010,438.0,,,
2015-12-27,El_Salvador-Cuscatlan,department,SV0010,71.0,,,
2015-12-27,El_Salvador-Chalatenango,department,SV0010,136.0,,,
2015-12-27,El_Salvador-Cabanas,department,SV0010,54.0,,,
2015-12-27,El_Salvador-Ahuachapan,department,SV0010,40.0,,,
2015-12-27,El_Salvador-La_Union,department,SV0010,19.0,,,
2016-01-09,El_Salvador,country,SV0010,492.0,,,
2016-01-09,El_Salvador-Usulutan,department,SV0010,3.0,,,
2016-01-09,El_Salvador-Sonsonate,department,SV0010,10.0,,,
2016-01-09,El_Salvador-Santa_Ana,department,SV0010,61.0,,,
2016-01-09,El_Salvador-San_Vicente,department,SV0010,44.0,,,
2016-01-09,El_Salvador-San_Salvador,department,SV0010,159.0,,,
2016-01-09,El_Salvador-San_Miguel,department,SV0010,13.0,,,
2016-01-09,El_Salvador-Morazan,department,SV0010,2.0,,,
2016-01-09,El_Salvador-La_Paz,department,SV0010,4.0,,,
2016-01-09,El_Salvador-La_Libertad,department,SV0010,89.0,,,
