report_date,location,location_type,data_field_code,value
2015-11-28,El_Salvador,country,SV0010,851.0
2015-12-05,El_Salvador,country,SV0010,864.0
2015-12-12,El_Salvador,country,SV0010,1716.0
2015-12-19,El_Salvador,country,SV0010,2773.0
2015-12-27,El_Salvador,country,SV0010,3836.0
2016-01-09,El_Salvador,country,SV0010,492.0
2016-01-16,El_Salvador,country,SV0010,1561.0
2016-01-23,El_Salvador,country,SV0010,2474.0
2016-01-30,El_Salvador,country,SV0010,3302.0
2016-02-06,El_Salvador,country,SV0010,4087.0
2016-02-13,El_Salvador,country,SV0010,4748.0
2016-02-20,El_Salvador,country,SV0010,5123.0
2016-02-27,El_Salvador,country,SV0010,5343.0
2016-03-05,El_Salvador,country,SV0010,5620.0
2016-03-12,El_Salvador,country,SV0010,5693.0
2016-03-26,El_Salvador,country,SV0010,5854.0
2016-04-02,El_Salvador,country,SV0010,5936.0
2016-04-09,El_Salvador,country,SV0010,6003.0
2016-04-16,El_Salvador,country,SV0010,6137.0
2016-04-23,El_Salvador,country,SV0010,6206.0
2016-04-30,El_Salvador,country,SV0010,6316.0
2016-05-07,El_Salvador,country,SV0010,6398.0
2016-05-14,El_Salvador,country,SV0010,6440.0
2016-05-21,El_Salvador,country,SV0010,6491.0
2016-05-28,El_Salvador,country,SV0010,6571.0
2016-06-04,El_Salvador,country,SV0010,6640.0
2016-06-11,El_Salvador,country,SV0010,6696.0
2016-06-18,El_Salvador,country,SV0010,6754.0
2016-06-25,El_Salvador,country,SV0010,6848.0
2016-07-02,El_Salvador,country,SV0010,6924.0
2016-07-09,El_Salvador,country,SV0010,6970.0
2016-07-16,El_Salvador,country,SV0010,7025.0
2016-07-23,El_Salvador,country,SV0010,7063.0
2016-08-06,El_Salvador,country,SV0010,7123.0
2016-08-13,El_Salvador,country,SV0010,7179.0
2016-08-20,El_Salvador,country,SV0010,7222.0
2016-08-27,El_Salvador,country,SV0010,7262.0
2016-09-03,El_Salvador,country,SV0010,7297.0
2016-09-10,El_Salvador,country,SV0010,7342.0
2016-09-17,El_Salvador,country,SV0010,7367.0
2016-09-24,El_Salvador,country,SV0010,7379.0
2016-10-01,El_Salvador,country,SV0010,7398.0
2016-10-08,El_Salvador,country,SV0010,7428.0
2016-10-15,El_Salvador,country,SV0010,7447.0
2016-10-22,El_Salvador,country,SV0010,7469.0
2016-10-29,El_Salvador,country,SV0010,7485.0
2016-11-05,El_Salvador,country,SV0010,7497.0
2016-11-12,El_Salvador,country,SV0010,7517.0
2016-11-19,El_Salvador,country,SV0010,7527.0
2016-11-26,El_Salvador,country,SV0010,7543.0
2016-12-03,El_Salvador,country,SV0010,7557.0
2016-12-10,El_Salvador,country,SV0010,7565.0
2016-12-17,El_Salvador,country,SV0010,7577.0
2016-12-24,El_Salvador,country,SV0010,7598.0
2017-01-13,El_Salvador,country,SV0010,7.0
2017-01-20,El_Salvador,country,SV0010,18.0
2017-01-27,El_Salvador,country,SV0010,32.0
2017-02-03,El_Salvador,country,SV0010,44.0
2017-02-10,El_Salvador,country,SV0010,55.0
2017-02-17,El_Salvador,country,SV0010,72.0
2017-02-24,El_Salvador,country,SV0010,78.0
2017-03-03,El_Salvador,country,SV0010,89.0
2017-03-10,El_Salvador,country,SV0010,101.0
2017-03-17,El_Salvador,country,SV0010,115.0
2017-03-24,El_Salvador,country,SV0010,122.0
2017-03-31,El_Salvador,country,SV0010,125.0
2017-04-07,El_Salvador,country,SV0010,132.0
2017-04-21,El_Salvador,country,SV0010,143.0
2017-05-05,El_Salvador,country,SV0010,160.0
2017-05-19,El_Salvador,country,SV0010,175.0
2017-06-02,El_Salvador,country,SV0010,192.0
2017-06-16,El_Salvador,country,SV0010,218.0
2017-06-23,El_Salvador,country,SV0010,225.0
2017-06-30,El_Salvador,country,SV0010,232.0
2017-07-07,El_Salvador,country,SV0010,240.0
2017-07-14,El_Salvador,country,SV0010,240.0
2017-07-21,El_Salvador,country,SV0010,257.0
2017-07-28,El_Salvador,country,SV0010,271.0
2017-08-11,El_Salvador,country,SV0010,282.0
2017-08-18,El_Salvador,country,SV0010,289.0
2017-08-25,El_Salvador,country,SV0010,297.0
2017-09-01,El_Salvador,country,SV0010,310.0
2017-09-08,El_Salvador,country,SV0010,328.0
2017-09-15,El_Salvador,country,SV0010,335.0
2017-09-22,El_Salvador,country,SV0010,341.0
2017-09-29,El_Salvador,country,SV0010,349.0
2017-10-06,El_Salvador,country,SV0010,362.0
2017-10-13,El_Salvador,country,SV0010,376.0
2017-10-20,El_Salvador,country,SV0010,382.0
2017-10-27,El_Salvador,country,SV0010,401.0
2017-11-03,El_Salvador,country,SV0010,409.0
2017-11-10,El_Salvador,country,SV0010,415.0
2017-11-17,El_Salvador,country,SV0010,422.0
2017-11-24,El_Salvador,country,SV0010,422.0

