report_date,location,location_type,data_field_code,value,ï»¿report_date
2015-12-09,Guatemala,country,GT0001,2.0,
2015-12-16,Guatemala,country,GT0001,10.0,
2016-01-19,Guatemala,country,GT0001,25.0,
2016-01-19,Guatemala-Zacapa,municipality,GT0001,11.0,
2016-01-19,Guatemala-Suchitepequez,municipality,GT0001,9.0,
2016-01-19,Guatemala-Izabal,municipality,GT0001,2.0,
2016-01-19,Guatemala-Peten_Sur_Oriental,municipality,GT0001,1.0,
2016-01-19,Guatemala-Nor_Occidente,municipality,GT0001,1.0,
2016-01-19,Guatemala-Quetzaltenango,municipality,GT0001,1.0,
2016-02-09,Guatemala-Quetzaltenango,municipality,GT0001,30.0,
2016-02-09,Guatemala-Izabal,municipality,GT0001,1.0,
2016-02-09,Guatemala-Chiquimula,municipality,GT0001,3.0,
2016-02-09,Guatemala-Santa_Rosa,municipality,GT0001,0.0,
2016-02-09,Guatemala-Peten_Sur_Oriental,municipality,GT0001,1.0,
2016-02-09,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-02-09,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-02-09,Guatemala-Sacatepequez,municipality,GT0001,1.0,
2016-02-09,Guatemala-Escuintla,municipality,GT0001,2.0,
2016-02-09,Guatemala-Zacapa,municipality,GT0001,10.0,
2016-02-09,Guatemala-Sur,municipality,GT0001,0.0,
2016-02-09,Guatemala-El_Progreso,municipality,GT0001,0.0,
2016-02-09,Guatemala,country,GT0001,57.0,
2016-02-09,Guatemala-Suchitepequez,municipality,GT0001,9.0,
2016-02-23,Guatemala-Quetzaltenango,municipality,GT0001,49.0,
2016-02-23,Guatemala-Zacapa,municipality,GT0001,12.0,
2016-02-23,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-02-23,Guatemala-Central,municipality,GT0001,2.0,
2016-02-23,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-02-23,Guatemala-El_Progreso,municipality,GT0001,0.0,
2016-02-23,Guatemala-Jutiapa,municipality,GT0001,5.0,
2016-02-23,Guatemala-Escuintla,municipality,GT0001,0.0,
2016-02-23,Guatemala-Sur,municipality,GT0001,3.0,
2016-02-23,Guatemala-Peten_Sur_Oriental,municipality,GT0001,4.0,
2016-02-23,Guatemala-Izabal,municipality,GT0001,6.0,
2016-02-23,Guatemala-Chiquimula,municipality,GT0001,3.0,
2016-02-23,Guatemala-Suchitepequez,municipality,GT0001,4.0,
2016-02-23,Guatemala-Retalhuleu,municipality,GT0001,11.0,
2016-02-23,Guatemala-Santa_Rosa,municipality,GT0001,10.0,
2016-02-23,Guatemala,country,GT0001,127.0,
2016-02-23,Guatemala-San_Marcos,municipality,GT0001,18.0,
2016-03-08,Guatemala-Central,municipality,GT0001,0.0,
2016-03-08,Guatemala-Peten_Sur_Occidental,municipality,GT0001,0.0,
2016-03-08,Guatemala-El_Progreso,municipality,GT0001,0.0,
2016-03-08,Guatemala-Sacatepequez,municipality,GT0001,0.0,
2016-03-08,Guatemala-Nor_Occidente,municipality,GT0001,0.0,
2016-03-08,Guatemala-Solola,municipality,GT0001,0.0,
2016-03-08,Guatemala-Escuintla,municipality,GT0001,0.0,
2016-03-08,Guatemala-Sur,municipality,GT0001,0.0,
2016-03-08,Guatemala-San_Marcos,municipality,GT0001,2.0,
2016-03-08,Guatemala-Quetzaltenango,municipality,GT0001,6.0,
2016-03-08,Guatemala-Izabal,municipality,GT0001,3.0,
2016-03-08,Guatemala-Suchitepequez,municipality,GT0001,4.0,
2016-03-08,Guatemala-Peten_Sur_Oriental,municipality,GT0001,2.0,
2016-03-08,Guatemala-Retalhuleu,municipality,GT0001,0.0,
2016-03-08,Guatemala-Chiquimula,municipality,GT0001,7.0,
2016-03-08,Guatemala-Santa_Rosa,municipality,GT0001,4.0,
2016-03-08,Guatemala-Nor_Oriente,municipality,GT0001,1.0,
2016-03-08,Guatemala-Zacapa,municipality,GT0001,8.0,
2016-03-08,Guatemala,country,GT0001,41.0,
2016-03-08,Guatemala-Jutiapa,municipality,GT0001,4.0,
2016-03-22,Guatemala,country,GT0001,29.0,
2016-03-22,Guatemala-Zacapa,municipality,GT0001,1.0,
2016-03-22,Guatemala-San_Marcos,municipality,GT0001,0.0,
2016-03-22,Guatemala-Central,municipality,GT0001,0.0,
2016-03-22,Guatemala-Peten_Norte,municipality,GT0001,0.0,
2016-03-22,Guatemala-Suchitepequez,municipality,GT0001,0.0,
2016-03-22,Guatemala-Jutiapa,municipality,GT0001,0.0,
2016-03-22,Guatemala-Izabal,municipality,GT0001,2.0,
