report_date,location,location_type,data_field_code,value,ï»¿report_date
2016-01-27,United_States-Puerto_Rico,territory,PR0001,15.0,
2016-02-04,United_States-Puerto_Rico,territory,PR0001,15.0,
2016-02-10,United_States-Puerto_Rico,territory,PR0001,21.0,
2016-02-18,United_States-Puerto_Rico,territory,PR0001,50.0,
2016-02-24,United_States-Puerto_Rico,territory,PR0001,88.0,
2016-03-03,United_States-Puerto_Rico,territory,PR0001,127.0,
2016-03-10,United_States-Puerto_Rico,territory,PR0001,158.0,
2016-03-17,United_States-Puerto_Rico,territory,PR0001,161.0,
2016-03-25,United_States-Puerto_Rico,territory,PR0001,190.0,
2016-03-30,United_States-Puerto_Rico,territory,PR0001,135.0,
2016-04-06,United_States-Puerto_Rico,territory,PR0001,136.0,
2016-04-13,United_States-Puerto_Rico,territory,PR0001,199.0,
2016-04-20,United_States-Puerto_Rico,territory,PR0001,197.0,
2016-04-27,United_States-Puerto_Rico,territory,PR0001,204.0,
2016-05-04,United_States-Puerto_Rico,territory,PR0001,236.0,
2016-05-12,United_States-Puerto_Rico,territory,PR0001,303.0,
2016-05-19,United_States-Puerto_Rico,territory,PR0001,398.0,
2016-05-26,United_States-Puerto_Rico,territory,PR0001,372.0,
2016-06-02,United_States-Puerto_Rico,territory,PR0001,416.0,
2016-06-09,United_States-Puerto_Rico,territory,PR0001,443.0,
2016-06-16,United_States-Puerto_Rico,territory,PR0001,448.0,
2016-06-23,United_States-Puerto_Rico,territory,PR0001,672.0,
2016-07-01,United_States-Puerto_Rico,territory,PR0001,595.0,
2016-07-07,United_States-Puerto_Rico,territory,PR0001,896.0,
2016-07-14,United_States-Puerto_Rico,territory,PR0001,1733.0,
2016-07-21,United_States-Puerto_Rico,territory,PR0001,2122.0,
2016-07-28,United_States-Puerto_Rico,territory,PR0001,3374.0,
2016-08-04,United_States-Puerto_Rico,territory,PR0001,3974.0,
2016-08-11,United_States-Puerto_Rico,territory,PR0001,4211.0,
2016-08-18,United_States-Puerto_Rico,territory,PR0001,4178.0,
2016-08-25,United_States-Puerto_Rico,territory,PR0001,4359.0,
2016-09-01,United_States-Puerto_Rico,territory,PR0001,4359.0,
2016-09-08,United_States-Puerto_Rico,territory,PR0001,4554.0,
2016-09-15,United_States-Puerto_Rico,territory,PR0001,4888.0,
2016-09-23,United_States-Puerto_Rico,territory,PR0001,5244.0,
2016-09-29,United_States-Puerto_Rico,territory,PR0001,4615.0,
2016-10-06,United_States-Puerto_Rico,territory,PR0001,4934.0,
2016-10-14,United_States-Puerto_Rico,territory,PR0001,5317.0,
2016-10-20,United_States-Puerto_Rico,territory,PR0001,4399.0,
2016-10-27,United_States-Puerto_Rico,territory,PR0001,4172.0,
2016-11-03,United_States-Puerto_Rico,territory,PR0001,3994.0,
2016-11-10,United_States-Puerto_Rico,territory,PR0001,3375.0,
2016-11-17,United_States-Puerto_Rico,territory,PR0001,2705.0,
2016-11-25,United_States-Puerto_Rico,territory,PR0001,2221.0,
2016-12-02,United_States-Puerto_Rico,territory,PR0001,1664.0,
2016-12-09,United_States-Puerto_Rico,territory,PR0001,1309.0,
2016-12-16,United_States-Puerto_Rico,territory,PR0001,1176.0,
2016-12-23,United_States-Puerto_Rico,territory,PR0001,937.0,
